"Shop By","Shop By"
"Shopping Options","Shopping Options"
Category,Category
"Compare Products","Compare Products"
"Print This Page","Print This Page"
"Remove Product","Remove Product"
Product,Product
"Add to Cart","German"
"In stock","In stock"
"Out of stock","Out of stock"
"Add to Wish List","Add to Wish List"
"You have no items to compare.","You have no items to compare."
"Remove This Item","Remove This Item"
Compare,Compare
"Clear All","Clear All"
"Close Window","Close Window"
Prev,Prev
Next,Next
"We can\'t find products matching the selection.","We can\'t find products matching the selection."
"Add to Compare","Add to Compare"
"Learn More","Learn More"
"Related Products","Related Products"
"We found other products you might like!","We found other products you might like!"
"More Choices:","More Choices:"
"New Products","New Products"
"Check items to add to the cart or","Check items to add to the cart or"
"select all","select all"
"Items %1-%2 of %3","Items %1-%2 of %3"
"%1 Item","%1 Item"
"%1 Items","%1 Items"
Show,Show
"per page","per page"
"Sort By","Sort By"
"Set Ascending Direction","Set Ascending Direction"
"Set Descending Direction","Set Descending Direction"
"View as","View as"
Qty,German
"More Information","More Information"
label,label
Loading...,Loading...
Email,Email
Change,Change
Delete,Delete
"Compatible file extensions to upload","Compatible file extensions to upload"
"Maximum image width","Maximum image width"
px.,px.
"Maximum image height","Maximum image height"
"Maximum number of characters:","Maximum number of characters:"
"* Required Fields","* Required Fields"
Availability,Availability
